1;0;1572.00;14.60;2006.00;0.00;0.88
2;0;2995.00;10.10;1556.00;0.00;0.60
3;0;3339.00;10.90;377.00;0.00;0.48
4;0;2732.00;10.10;546.00;0.00;0.44
5;0;2030.00;9.70;589.00;0.00;0.28
6;0;3686.00;13.25;1896.00;0.00;0.36
7;0;3733.00;15.72;1932.00;0.00;0.36
8;0;3094.00;10.67;2037.00;0.00;0.44
9;0;2898.00;19.17;1947.00;0.00;0.68
10;0;2510.00;11.20;1496.00;0.00;0.44
11;0;3518.00;10.00;799.00;0.00;0.52
12;0;3774.00;10.52;1452.00;0.00;0.40
13;0;3627.00;10.90;454.00;0.00;0.56
14;0;2678.00;10.00;1149.00;0.00;0.48
15;0;3299.00;10.20;928.00;0.00;0.28
16;0;2364.00;10.00;2039.00;0.00;0.40
17;0;2671.00;10.30;1810.00;0.00;0.52
18;0;3766.00;13.15;1921.00;0.00;0.32
19;0;1927.00;18.60;1706.00;0.00;0.84
20;0;2628.00;10.00;1909.00;0.00;0.76
21;0;3018.00;10.10;1783.00;0.00;0.56
22;0;1769.00;10.20;1674.00;0.00;0.36
23;0;3529.00;9.70;845.00;0.00;0.44
24;0;2509.00;13.80;1288.00;0.00;0.40
25;0;1621.00;10.30;1358.00;0.00;0.32
26;0;3149.00;10.70;1748.00;0.00;0.52
27;0;3144.00;11.87;738.00;0.00;0.36
28;0;2589.00;10.40;981.00;0.00;0.36
29;0;2736.00;10.20;585.00;0.00;0.40
30;0;3463.00;10.00;1062.00;0.00;0.24
31;0;2670.00;10.00;623.00;0.00;0.48
32;0;2363.00;12.42;436.00;0.00;0.56
33;0;1958.00;11.60;1617.00;0.00;0.56
34;0;2970.00;12.10;688.00;0.00;0.40
35;0;2721.00;10.10;1719.00;0.00;0.44
36;0;3899.00;10.00;1439.00;0.00;0.36
37;0;3095.00;10.00;1100.00;0.00;0.20
38;0;3472.00;9.70;347.00;0.00;0.40
39;0;2991.00;10.00;318.00;0.00;0.48
40;0;3629.00;10.00;1764.00;0.00;0.32
41;0;2390.00;10.10;765.00;0.00;0.56
42;0;3300.00;10.20;1782.00;0.00;0.52
43;0;1659.00;18.35;1855.00;0.00;0.96
44;0;2657.00;11.70;2019.00;0.00;0.68
45;0;3194.00;11.75;1837.00;0.00;0.84
46;0;1586.00;14.40;2033.00;0.00;0.64
47;0;2740.00;10.00;995.00;0.00;0.44
