1;2254.00;9.70;1175.00;big
1;3821.00;9.50;1065.00;big
2;3678.00;10.00;1052.00;big
2;3677.00;10.00;988.00;big
3;3854.00;10.00;1152.00;big
3;3875.00;10.00;1173.00;big
4;3734.00;10.00;1142.00;big
4;3801.00;10.00;1140.00;big
5;3779.00;10.00;1210.00;big
5;3848.00;10.10;1214.00;big
6;3582.00;10.00;1121.00;big
6;3647.00;10.00;1115.00;big
7;3633.00;10.65;1210.00;big
7;3677.00;10.50;1170.00;big
8;3722.00;10.45;1244.00;big
8;3731.00;10.50;1204.00;big
9;3530.00;10.00;1044.00;big
9;3605.00;10.80;1034.00;big
10;3559.00;10.00;980.00;big
10;3577.00;10.00;1011.00;big
11;3508.00;10.00;986.00;big
11;3517.00;9.80;950.00;big
12;3371.00;9.80;957.00;big
12;3436.00;10.00;963.00;big
13;3184.00;17.50;1151.00;big
13;3127.00;10.00;1146.00;big
14;3098.00;10.00;1084.00;big
14;3041.00;10.00;1108.00;big
15;3166.00;10.00;1026.00;big
15;3213.00;10.00;1066.00;big
16;3325.00;12.00;1120.00;big
16;3241.00;15.93;1143.00;big
17;3497.00;12.60;1141.00;big
17;3408.00;11.85;1129.00;big
18;2996.00;12.20;1033.00;big
18;3039.00;10.00;1052.00;big
19;2889.00;10.20;768.00;big
19;2839.00;10.10;828.00;big
20;2903.00;10.10;951.00;big
20;2925.00;10.20;864.00;big
21;2975.00;10.30;803.00;big
21;2996.00;10.20;845.00;big
22;3219.00;10.40;931.00;big
22;3329.00;10.00;941.00;big
23;3370.00;10.70;820.00;big
23;3312.00;10.40;806.00;big
24;2992.00;10.10;949.00;big
24;3059.00;10.00;991.00;big
25;3083.00;10.00;915.00;big
25;3143.00;10.10;956.00;big
26;3139.00;12.20;762.00;big
26;3178.00;11.80;814.00;big
27;3144.00;11.50;867.00;big
27;3076.00;10.95;828.00;big
28;3233.00;12.60;763.00;big
28;3290.00;10.80;760.00;big
29;3243.00;11.00;842.00;big
29;3319.00;10.45;892.00;big
30;3381.00;10.00;1025.00;big
30;3463.00;10.00;1044.00;big
31;3258.00;10.00;1035.00;big
31;3316.00;10.10;1002.00;big
32;3972.00;10.00;1273.00;big
32;3907.00;10.00;1208.00;big
